Rank,Player,Team,Position,SF,SG,PG,C,PF,id,type,action,MIN,FGM,FGA,FTM,FTA,3PM,REB,AST,STL,BLK,TO,PTS,%ROST,#ERROR!,tot,avg,checked
1,Nikola Jokic,Den,C,False,False,False,False,False,1,,,35.1,10.4,17.7,4.7,5.8,1.0,12.7,9.2,1.4,0.8,3.3,26.7,99.9,0.0,4862.0,63.1,False
2,Luka Doncic,Dal,PG,False,False,False,False,False,2,,,37.0,11.2,23.1,6.9,8.9,3.7,9.1,9.3,1.4,0.5,4.0,33.1,99.9,0.0,4423.0,61.4,False
3,Shai Gilgeous-Alexander,OKC,PG,False,False,False,False,False,3,,,34.8,11.2,21.1,8.1,9.3,1.4,5.6,6.8,2.0,0.9,2.3,32.0,99.9,0.0,4421.0,59.7,False
4,Victor Wembanyama,SA,C,False,False,False,False,False,4,,,33.4,9.2,18.8,4.8,5.8,2.1,12.0,4.4,1.8,4.3,4.1,25.4,99.9,0.0,4418.0,63.1,False
5,Giannis Antetokounmpo,Mil,PF,False,False,False,True,False,5,,,35.4,11.6,19.5,7.5,11.4,0.6,11.9,6.5,1.1,1.1,3.6,31.3,99.9,0.0,4076.0,58.2,False
6,Domantas Sabonis,Sac,C,False,False,False,False,True,6,,,36.1,7.7,13.0,3.7,5.2,0.4,13.6,8.0,0.9,0.6,3.3,19.6,99.9,0.0,4004.0,50.1,False
7,Tyrese Haliburton,Ind,PG,False,True,False,False,False,7,,,34.8,7.7,16.1,3.0,3.5,3.0,4.2,11.5,1.4,0.7,2.5,21.4,99.8,0.1,3770.0,53.9,False
8,Joel Embiid,Phi,C,False,False,False,False,False,8,,,34.4,11.3,21.3,10.2,11.8,1.3,11.0,5.1,1.1,1.7,3.7,34.1,99.8,0.0,3604.0,60.1,False
9,Jayson Tatum,Bos,PF,True,False,False,False,False,9,,,36.0,9.2,19.7,5.9,7.0,3.1,8.2,4.8,1.0,0.6,2.6,27.5,99.9,0.0,3590.0,47.2,False
10,Anthony Edwards,Min,SG,True,False,False,False,False,10,,,36.8,10.0,21.7,5.8,7.1,2.8,5.7,5.1,1.4,0.6,3.2,28.6,99.9,0.0,3576.0,45.8,False
11,Anthony Davis,LAL,C,False,False,False,False,True,11,,,35.9,9.6,17.2,5.7,7.0,0.4,12.7,3.4,1.2,2.3,2.1,25.2,99.9,0.0,3548.0,55.4,False
12,Jalen Brunson,NYP,G,False,False,False,False,False,12,,,35.8,10.2,21.2,5.4,6.4,2.7,3.7,6.7,0.9,0.2,2.4,28.4,99.8,0.1,3492.0,45.9,False
13,Ja Morant,Mem,PG,False,False,False,False,False,13,,,36.2,10.8,22.5,6.5,8.6,1.7,6.4,8.4,1.2,0.4,3.8,29.7,99.5,0.1,3523.0,50.3,False
14,Donovan Mitchell,Cle,SG,False,False,True,False,False,14,,,36.1,9.6,20.5,4.9,5.7,3.5,4.9,5.7,1.7,0.5,2.9,27.5,99.6,0.1,3373.0,48.2,False
15,LeBron James,LAL,SF,False,False,False,False,True,15,,,35.2,9.8,18.4,4.3,5.7,2.1,7.4,8.0,1.2,0.6,3.4,26.0,99.9,0.0,3362.0,51.7,False
16,Trae Young,Atl,PG,False,False,False,False,False,16,,,36.2,8.4,19.3,7.0,8.0,3.0,3.0,10.7,1.3,0.2,4.3,26.7,99.6,0.1,3355.0,47.9,False
